sample,label,object,group,mapping_objs
243-0,0,"mother, son, daughter, son, the cookie jar, the cupboard door, he, cookies, jar, he, stool, girl, her hand, cookie, she, her finger, her lips, him, mother, she, dish, water, sink, she, curtains, garage, shrubbery, path, tree, plate, sugar bowl set, boy's shoes, shoes, socks, he, shorts, shirt, sister, mini dress mini skirt, sandals, curtains, windows, cupboards","group2, group1, group1, group1, group1, group1, group1, group1, group1, group1, group1, group1, group1-girl-hand, group1, group1, group1-girl-hand, group1, group1, group2, group2, group2, group2, group2, group2, group4, group4, group4, group4, group4, group3, group3, group1-boy-hand, group1-boy-hand, group1-boy-hand, group1, group1-boy-hand, group1-boy-hand, group1, group1-girl-hand, group1-girl-hand, group4, group4, group3","['mother', 'boy', 'girl', 'boy', 'jar', 'cupboard_1', 'boy', 'cookie', 'jar', 'boy', 'stool', 'girl', 'girl', 'cookie', 'girl', 'girl', 'girl', 'boy', 'mother', 'mother', 'dish_2', 'water', 'sink', 'mother', 'curtain', 'garage', 'plant', 'path', 'plant', 'dish_3', 'dish_3', 'boy', 'boy', 'boy', 'boy', 'boy', 'boy', 'girl', 'girl', 'girl', 'curtain', 'window', 'cupboard_3']"
245-0,0,"mother , dishes , she , water , sink , floor , she, water, boy , stool, he , cookie jar, sister , cookie , stool , boy ","group2, group2, group2, group2, group2, group2, group2, group2, group1, group1, group1, group1, group1, group1, group1, group1","['mother', 'dish_2', 'mother', 'water', 'sink', 'floor', 'mother', 'water', 'boy', 'stool', 'boy', 'jar', 'girl', 'cookie', 'stool', 'boy']"
245-1,0,"boy , stool, cookies , cookie jar, sister , cookies, mother , dishes , sink, water , sink , water, window , mother , walkway , garage, sink , cups , plate, stool ","group1, group1, group1, group1, group1, group1, group2, group2, group2, group2, group2, group2, group4, group2, group4, group4, group2, group3, group3, group1","['boy', 'stool', 'cookie', 'jar', 'girl', 'cookie', 'mother', 'dish_2', 'sink', 'water', 'sink', 'water', 'window', 'mother', 'path', 'garage', 'sink', 'dish_3', 'dish_3', 'stool']"
245-2,0,"boy , stool, cookies , cookie jar, girl , she, cookie , hand, woman , dish, sink , water , spigot, dishes , sink","group1, group1, group1, group1, group1, group1, group1, group1-boy-hand, group2, group2, group2, group2, group2, group2, group2","['boy', 'stool', 'cookie', 'jar', 'girl', 'girl', 'cookie', 'boy', 'mother', 'dish_2', 'sink', 'water', 'sink', 'dish_2', 'sink']"
248-0,0,"boy, stool , cookies, he, sister , mother , plate, dishes, water, sink , floor, she, water, girl, cookie, she, finger , nose ","group1, group1, group1, group1, group1, group2, group2, group2, group2, group2, group2, group2, group2, group1, group1, group1, group1-girl-hand, group1-girl-hand","['boy', 'stool', 'cookie', 'boy', 'girl', 'mother', 'dish_2', 'dish_2', 'water', 'sink', 'floor', 'mother', 'water', 'girl', 'cookie', 'girl', 'girl', 'girl']"
248-1,0,"faucet , water, sink , floor, grass , trees, window , mother , dishes, she, water, Johnny , cookies , cookie jar,  he, stool, he, cookie , sister , she, finger , nose, she, Johnny , cookie jar","group2, group2, group2, group2, group4, group4, group4, group2, group2, group2, group2, group1, group1, group1, group1, group1, group1, group1, group1, group1, group1-girl-hand, group1-girl-hand, group1, group1, group1","['sink', 'water', 'sink', 'floor', 'plant', 'plant', 'window', 'mother', 'dish_2', 'mother', 'water', 'boy', 'cookie', 'jar', 'boy', 'stool', 'boy', 'cookie', 'girl', 'girl', 'girl', 'girl', 'girl', 'boy', 'jar']"
248-2,0,"water , spigot , sink, water , floor, mother , dish, boy , stool , cookies , cookie jar, sister , he, stool , grass ","group2, group2, group2, group2, group2, group2, group2, group1, group1, group1, group1, group1, group1, group1, group4","['water', 'sink', 'sink', 'water', 'floor', 'mother', 'dish_2', 'boy', 'stool', 'cookie', 'jar', 'girl', 'boy', 'stool', 'plant']"
255-0,0,"boy , stool, he, cupboard , cookies, girl , cookies , mother, dishes , sink, water, floor, she, dish , window","group1, group1, group1, group1, group1, group1, group1, group2, group2, group2, group2, group2, group2, group2, group4","['boy', 'stool', 'boy', 'cupboard_1', 'cookie', 'girl', 'cookie', 'mother', 'dish_2', 'sink', 'water', 'floor', 'mother', 'dish_2', 'window']"
255-1,0,"woman , sink , dishes, water, sink, boy , stool, cookies, he ","group2, group2, group2, group2, group2, group1, group1, group1, group1","['mother', 'sink', 'dish_2', 'water', 'sink', 'boy', 'stool', 'cookie', 'boy']"
256-0,0,"woman, spigot , floor, kid, cookies , he, stool, she, water, she, window ","group2, group2, group2, group1-kid-boy, group1, group1, group1, group2, group2, group2, group4","['mother', 'sink', 'floor', 'boy', 'cookie', 'boy', 'stool', 'mother', 'water', 'mother', 'window']"
